Time (matlabs datenum format),Cloud base height (decameters)
730486,311
730486.0417,471
730486.0833,381
730486.125,181
730486.1667,461
730486.2083,91
730486.25,171
730486.2917,501
730486.3333,231
730486.375,391
730486.4167,471
730486.4583,121
730486.5,231
730486.5417,241
730486.5833,301
730486.625,261
730486.6667,401
730486.7083,391
730486.75,331
730486.7917,481
730486.8333,491
730486.875,131
730486.9167,451
730486.9583,41
730487,11
730487.0417,191
730487.0833,241
730487.125,1
730487.1667,161
730487.2083,21
730487.25,281
730487.2917,161
730487.3333,11
730487.375,11
730487.4167,171
730487.4583,241
730487.5,131
730487.5417,281
730487.5833,501
730487.625,251
730487.6667,441
730487.7083,121
730487.75,431
730487.7917,491
730487.8333,231
730487.875,391
730487.9167,61
730487.9583,41
730488,401
730488.0417,311
730488.0833,431
730488.125,221
730488.1667,421
730488.2083,121
730488.25,401
730488.2917,381
730488.3333,361
730488.375,161
730488.4167,221
730488.4583,471
730488.5,181
730488.5417,251
730488.5833,61
730488.625,41
730488.6667,161
730488.7083,451
730488.75,241
730488.7917,311
730488.8333,171
730488.875,131
730488.9167,171
730488.9583,191
730489,331
730489.0417,91
730489.0833,401
730489.125,221
730489.1667,291
730489.2083,61
730489.25,151
730489.2917,171
730489.3333,351
730489.375,401
730489.4167,11
730489.4583,81
730489.5,271
730489.5417,341
730489.5833,141
730489.625,161
730489.6667,321
730489.7083,271
730489.75,11
730489.7917,461
730489.8333,431
730489.875,401
730489.9167,361
730489.9583,331
730490,71
730490.0417,21
730490.0833,481
730490.125,411
730490.1667,51
730490.2083,101
730490.25,151
730490.2917,211
730490.3333,221
730490.375,81
730490.4167,151
730490.4583,51
730490.5,441
730490.5417,221
730490.5833,221
730490.625,451
730490.6667,211
730490.7083,41
730490.75,401
730490.7917,311
730490.8333,21
730490.875,311
730490.9167,251
730490.9583,41
730491,11
730491.0417,161
730491.0833,181
730491.125,281
730491.1667,281
730491.2083,471
730491.25,111
730491.2917,51
730491.3333,101
730491.375,181
730491.4167,401
730491.4583,351
730491.5,241
730491.5417,311
730491.5833,321
730491.625,391
730491.6667,141
730491.7083,351
730491.75,11
730491.7917,11
730491.8333,131
730491.875,481
730491.9167,71
730491.9583,101
730492,321
730492.0417,41
730492.0833,331
730492.125,491
730492.1667,61
730492.2083,241
730492.25,91
730492.2917,41
730492.3333,151
730492.375,11
730492.4167,121
730492.4583,471
730492.5,81
730492.5417,301
730492.5833,411
730492.625,241
730492.6667,371
730492.7083,51
730492.75,411
730492.7917,321
730492.8333,181
730492.875,441
730492.9167,361
730492.9583,311
730493,211
730493.0417,121
730493.0833,151
730493.125,361
730493.1667,151
730493.2083,421
730493.25,11
730493.2917,171
730493.3333,331
730493.375,131
730493.4167,31
730493.4583,381
730493.5,321
730493.5417,491
730493.5833,71
730493.625,261
730493.6667,41
730493.7083,71
730493.75,191
730493.7917,171
730493.8333,51
730493.875,421
730493.9167,291
730493.9583,61
730494,61
730494.0417,131
730494.0833,401
730494.125,471
730494.1667,181
730494.2083,141
730494.25,61
730494.2917,451
730494.3333,261
730494.375,321
730494.4167,491
730494.4583,231
730494.5,41
730494.5417,141
730494.5833,401
730494.625,441
730494.6667,401
730494.7083,351
730494.75,341
730494.7917,141
730494.8333,11
730494.875,211
730494.9167,251
730494.9583,411
730495,181
730495.0417,371
730495.0833,321
730495.125,351
730495.1667,351
730495.2083,21
730495.25,41
730495.2917,451
730495.3333,191
730495.375,451
730495.4167,11
730495.4583,451
730495.5,371
730495.5417,481
730495.5833,1
730495.625,381
730495.6667,11
730495.7083,401
730495.75,371
730495.7917,151
730495.8333,131
730495.875,341
730495.9167,61
730495.9583,51
730496,261
730496.0417,31
730496.0833,491
730496.125,451
730496.1667,221
730496.2083,411
730496.25,391
730496.2917,341
730496.3333,461
730496.375,321
730496.4167,241
730496.4583,391
730496.5,411
730496.5417,41
730496.5833,301
730496.625,231
730496.6667,121
730496.7083,371
730496.75,121
730496.7917,381
730496.8333,141
730496.875,401
730496.9167,131
730496.9583,341
730497,81
730497.0417,71
730497.0833,211
730497.125,151
730497.1667,171
730497.2083,351
730497.25,311
730497.2917,451
730497.3333,331
730497.375,211
730497.4167,41
730497.4583,281
730497.5,131
730497.5417,401
730497.5833,231
730497.625,271
730497.6667,361
730497.7083,71
730497.75,111
730497.7917,81
730497.8333,251
730497.875,401
730497.9167,71
730497.9583,221
730498,461
730498.0417,41
730498.0833,271
730498.125,181
730498.1667,241
730498.2083,31
730498.25,181
730498.2917,301
730498.3333,391
730498.375,131
730498.4167,131
730498.4583,61
730498.5,71
730498.5417,331
730498.5833,181
730498.625,241
730498.6667,81
730498.7083,491
730498.75,311
730498.7917,21
730498.8333,311
730498.875,111
730498.9167,281
730498.9583,151
730499,181
730499.0417,81
730499.0833,151
730499.125,401
730499.1667,481
730499.2083,481
730499.25,481
730499.2917,441
730499.3333,251
730499.375,361
730499.4167,331
730499.4583,41
730499.5,381
730499.5417,441
730499.5833,41
730499.625,391
730499.6667,461
730499.7083,291
730499.75,421
730499.7917,101
730499.8333,371
730499.875,411
730499.9167,141
730499.9583,311
730500,321
730500.0417,221
730500.0833,241
730500.125,311
730500.1667,141
730500.2083,261
730500.25,221
730500.2917,151
730500.3333,181
730500.375,11
730500.4167,121
730500.4583,121
730500.5,311
730500.5417,351
730500.5833,471
730500.625,41
730500.6667,381
730500.7083,221
730500.75,481
730500.7917,271
730500.8333,411
730500.875,311
730500.9167,91
730500.9583,81
730501,71
730501.0417,131
730501.0833,441
730501.125,151
730501.1667,491
730501.2083,121
730501.25,181
730501.2917,151
730501.3333,361
730501.375,61
730501.4167,111
730501.4583,381
730501.5,221
730501.5417,461
730501.5833,71
730501.625,91
730501.6667,431
730501.7083,21
730501.75,81
730501.7917,51
730501.8333,141
730501.875,221
730501.9167,501
730501.9583,371
730502,301
730502.0417,401
730502.0833,41
730502.125,351
730502.1667,171
730502.2083,491
730502.25,21
730502.2917,121
730502.3333,71
730502.375,301
730502.4167,481
730502.4583,451
730502.5,71
730502.5417,421
730502.5833,171
730502.625,221
730502.6667,271
730502.7083,221
730502.75,361
730502.7917,261
730502.8333,451
730502.875,481
730502.9167,311
730502.9583,471
730503,241
730503.0417,51
730503.0833,241
730503.125,91
730503.1667,321
730503.2083,241
730503.25,121
730503.2917,61
730503.3333,331
730503.375,491
730503.4167,181
730503.4583,91
730503.5,61
730503.5417,421
730503.5833,301
730503.625,391
730503.6667,71
730503.7083,51
730503.75,111
730503.7917,341
730503.8333,231
730503.875,491
730503.9167,381
730503.9583,101
730504,301
730504.0417,161
730504.0833,391
730504.125,241
730504.1667,11
730504.2083,211
730504.25,301
730504.2917,361
730504.3333,171
730504.375,341
730504.4167,451
730504.4583,111
730504.5,171
730504.5417,491
730504.5833,31
730504.625,481
730504.6667,201
730504.7083,451
730504.75,371
730504.7917,201
730504.8333,431
730504.875,151
730504.9167,441
730504.9583,101
730505,61
730505.0417,341
730505.0833,101
730505.125,371
730505.1667,231
730505.2083,381
730505.25,361
730505.2917,471
730505.3333,491
730505.375,361
730505.4167,181
730505.4583,231
730505.5,251
730505.5417,71
730505.5833,141
730505.625,11
730505.6667,281
730505.7083,351
730505.75,461
730505.7917,191
730505.8333,71
730505.875,171
730505.9167,71
730505.9583,81
730506,41
730506.0417,431
730506.0833,311
730506.125,71
730506.1667,131
730506.2083,271
730506.25,201
730506.2917,21
730506.3333,241
730506.375,191
730506.4167,191
730506.4583,421
730506.5,471
730506.5417,191
730506.5833,261
730506.625,261
730506.6667,381
730506.7083,351
730506.75,291
730506.7917,461
730506.8333,121
730506.875,221
730506.9167,231
730506.9583,351
730507,81
730507.0417,181
730507.0833,131
730507.125,421
730507.1667,71
730507.2083,41
730507.25,351
730507.2917,271
730507.3333,291
730507.375,441
730507.4167,221
730507.4583,31
730507.5,191
730507.5417,201
730507.5833,11
730507.625,41
730507.6667,21
730507.7083,411
730507.75,21
730507.7917,171
730507.8333,231
730507.875,301
730507.9167,361
730507.9583,391
730508,441
730508.0417,231
730508.0833,11
730508.125,71
730508.1667,61
730508.2083,291
730508.25,281
730508.2917,61
