Time (matlab datenum format),Cloud Amount (okta)
730486,5
730486.0417,9
730486.0833,6
730486.125,5
730486.1667,7
730486.2083,8
730486.25,6
730486.2917,3
730486.3333,3
730486.375,3
730486.4167,2
730486.4583,5
730486.5,9
730486.5417,7
730486.5833,5
730486.625,1
730486.6667,5
730486.7083,3
730486.75,0
730486.7917,0
730486.8333,2
730486.875,9
730486.9167,3
730486.9583,6
730487,3
730487.0417,1
730487.0833,7
730487.125,0
730487.1667,1
730487.2083,1
730487.25,1
730487.2917,5
730487.3333,4
730487.375,8
730487.4167,4
730487.4583,7
730487.5,2
730487.5417,6
730487.5833,0
730487.625,7
730487.6667,4
730487.7083,5
730487.75,2
730487.7917,6
730487.8333,8
730487.875,4
730487.9167,8
730487.9583,3
730488,1
730488.0417,5
730488.0833,2
730488.125,7
730488.1667,1
730488.2083,3
730488.25,2
730488.2917,5
730488.3333,8
730488.375,1
730488.4167,4
730488.4583,6
730488.5,3
730488.5417,1
730488.5833,8
730488.625,6
730488.6667,8
730488.7083,2
730488.75,9
730488.7917,2
730488.8333,3
730488.875,9
730488.9167,6
730488.9583,2
730489,7
730489.0417,7
730489.0833,3
730489.125,3
730489.1667,5
730489.2083,2
730489.25,8
730489.2917,9
730489.3333,1
730489.375,8
730489.4167,0
730489.4583,0
730489.5,2
730489.5417,4
730489.5833,6
730489.625,8
730489.6667,2
730489.7083,9
730489.75,6
730489.7917,5
730489.8333,5
730489.875,8
730489.9167,0
730489.9583,2
730490,4
730490.0417,2
730490.0833,1
730490.125,4
730490.1667,1
730490.2083,4
730490.25,6
730490.2917,8
730490.3333,3
730490.375,4
730490.4167,4
730490.4583,5
730490.5,7
730490.5417,2
730490.5833,4
730490.625,9
730490.6667,3
730490.7083,0
730490.75,2
730490.7917,1
730490.8333,3
730490.875,4
730490.9167,5
730490.9583,4
730491,4
730491.0417,2
730491.0833,5
730491.125,4
730491.1667,7
730491.2083,6
730491.25,7
730491.2917,1
730491.3333,0
730491.375,6
730491.4167,5
730491.4583,6
730491.5,6
730491.5417,0
730491.5833,2
730491.625,8
730491.6667,6
730491.7083,7
730491.75,8
730491.7917,8
730491.8333,1
730491.875,6
730491.9167,8
730491.9583,5
730492,7
730492.0417,9
730492.0833,3
730492.125,1
730492.1667,3
730492.2083,1
730492.25,6
730492.2917,4
730492.3333,8
730492.375,5
730492.4167,4
730492.4583,2
730492.5,1
730492.5417,3
730492.5833,3
730492.625,1
730492.6667,0
730492.7083,4
730492.75,6
730492.7917,4
730492.8333,9
730492.875,6
730492.9167,1
730492.9583,4
730493,3
730493.0417,3
730493.0833,4
730493.125,6
730493.1667,7
730493.2083,8
730493.25,2
730493.2917,7
730493.3333,5
730493.375,4
730493.4167,2
730493.4583,4
730493.5,1
730493.5417,8
730493.5833,3
730493.625,5
730493.6667,5
730493.7083,3
730493.75,2
730493.7917,9
730493.8333,5
730493.875,8
730493.9167,0
730493.9583,9
730494,1
730494.0417,7
730494.0833,7
730494.125,6
730494.1667,6
730494.2083,7
730494.25,1
730494.2917,7
730494.3333,2
730494.375,1
730494.4167,3
730494.4583,8
730494.5,9
730494.5417,7
730494.5833,7
730494.625,1
730494.6667,7
730494.7083,7
730494.75,7
730494.7917,6
730494.8333,3
730494.875,7
730494.9167,1
730494.9583,1
730495,2
730495.0417,9
730495.0833,1
730495.125,1
730495.1667,4
730495.2083,9
730495.25,5
730495.2917,9
730495.3333,3
730495.375,5
730495.4167,8
730495.4583,0
730495.5,8
730495.5417,7
730495.5833,4
730495.625,7
730495.6667,8
730495.7083,0
730495.75,6
730495.7917,7
730495.8333,2
730495.875,4
730495.9167,5
730495.9583,5
730496,9
730496.0417,7
730496.0833,2
730496.125,8
730496.1667,3
730496.2083,5
730496.25,5
730496.2917,7
730496.3333,7
730496.375,2
730496.4167,8
730496.4583,8
730496.5,4
730496.5417,4
730496.5833,3
730496.625,2
730496.6667,4
730496.7083,2
730496.75,7
730496.7917,3
730496.8333,3
730496.875,3
730496.9167,7
730496.9583,3
730497,7
730497.0417,3
730497.0833,1
730497.125,4
730497.1667,4
730497.2083,6
730497.25,6
730497.2917,7
730497.3333,7
730497.375,3
730497.4167,9
730497.4583,8
730497.5,0
730497.5417,2
730497.5833,4
730497.625,3
730497.6667,3
730497.7083,2
730497.75,5
730497.7917,8
730497.8333,3
730497.875,5
730497.9167,3
730497.9583,6
730498,9
730498.0417,6
730498.0833,4
730498.125,7
730498.1667,9
730498.2083,1
730498.25,1
730498.2917,8
730498.3333,5
730498.375,0
730498.4167,8
730498.4583,6
730498.5,6
730498.5417,9
730498.5833,0
730498.625,2
730498.6667,5
730498.7083,8
730498.75,0
730498.7917,3
730498.8333,8
730498.875,1
730498.9167,5
730498.9583,0
730499,6
730499.0417,2
730499.0833,1
730499.125,7
730499.1667,2
730499.2083,7
730499.25,5
730499.2917,5
730499.3333,3
730499.375,5
730499.4167,7
730499.4583,5
730499.5,6
730499.5417,7
730499.5833,8
730499.625,8
730499.6667,7
730499.7083,2
730499.75,7
730499.7917,2
730499.8333,4
730499.875,0
730499.9167,0
730499.9583,3
730500,1
730500.0417,6
730500.0833,3
730500.125,1
730500.1667,8
730500.2083,3
730500.25,2
730500.2917,4
730500.3333,0
730500.375,4
730500.4167,7
730500.4583,8
730500.5,8
730500.5417,1
730500.5833,9
730500.625,6
730500.6667,2
730500.7083,7
730500.75,4
730500.7917,1
730500.8333,2
730500.875,1
730500.9167,2
730500.9583,8
730501,3
730501.0417,2
730501.0833,7
730501.125,4
730501.1667,6
730501.2083,8
730501.25,9
730501.2917,8
730501.3333,7
730501.375,3
730501.4167,2
730501.4583,7
730501.5,7
730501.5417,9
730501.5833,2
730501.625,6
730501.6667,6
730501.7083,3
730501.75,2
730501.7917,4
730501.8333,4
730501.875,4
730501.9167,3
730501.9583,7
730502,4
730502.0417,6
730502.0833,8
730502.125,5
730502.1667,8
730502.2083,4
730502.25,5
730502.2917,3
730502.3333,7
730502.375,1
730502.4167,9
730502.4583,4
730502.5,5
730502.5417,3
730502.5833,3
730502.625,3
730502.6667,6
730502.7083,2
730502.75,8
730502.7917,8
730502.8333,1
730502.875,2
730502.9167,3
730502.9583,6
730503,6
730503.0417,1
730503.0833,2
730503.125,9
730503.1667,6
730503.2083,3
730503.25,6
730503.2917,6
730503.3333,6
730503.375,1
730503.4167,5
730503.4583,5
730503.5,3
730503.5417,6
730503.5833,7
730503.625,7
730503.6667,6
730503.7083,5
730503.75,3
730503.7917,1
730503.8333,7
730503.875,3
730503.9167,9
730503.9583,1
730504,3
730504.0417,7
730504.0833,3
730504.125,7
730504.1667,2
730504.2083,7
730504.25,9
730504.2917,1
730504.3333,3
730504.375,4
730504.4167,8
730504.4583,8
730504.5,9
730504.5417,4
730504.5833,8
730504.625,2
730504.6667,1
730504.7083,2
730504.75,6
730504.7917,0
730504.8333,7
730504.875,7
730504.9167,5
730504.9583,8
730505,9
730505.0417,6
730505.0833,5
730505.125,9
730505.1667,8
730505.2083,6
730505.25,8
730505.2917,3
730505.3333,2
730505.375,0
730505.4167,2
730505.4583,1
730505.5,5
730505.5417,5
730505.5833,6
730505.625,3
730505.6667,4
730505.7083,6
730505.75,7
730505.7917,5
730505.8333,8
730505.875,5
730505.9167,4
730505.9583,7
730506,3
730506.0417,8
730506.0833,4
730506.125,5
730506.1667,2
730506.2083,8
730506.25,0
730506.2917,9
730506.3333,0
730506.375,4
730506.4167,5
730506.4583,5
730506.5,7
730506.5417,7
730506.5833,3
730506.625,2
730506.6667,1
730506.7083,6
730506.75,4
730506.7917,5
730506.8333,9
730506.875,5
730506.9167,5
730506.9583,6
730507,2
730507.0417,3
730507.0833,6
730507.125,8
730507.1667,6
730507.2083,4
730507.25,4
730507.2917,1
730507.3333,9
730507.375,7
730507.4167,8
730507.4583,7
730507.5,4
730507.5417,4
730507.5833,6
730507.625,3
730507.6667,6
730507.7083,5
730507.75,0
730507.7917,8
730507.8333,6
730507.875,4
730507.9167,2
730507.9583,5
730508,2
730508.0417,8
730508.0833,2
730508.125,1
730508.1667,9
730508.2083,8
730508.25,7
730508.2917,1
730508.3333,4
730508.375,5
730508.4167,7
730508.4583,3
730508.5,9
730508.5417,8
730508.5833,7
730508.625,1
730508.6667,3
730508.7083,7
730508.75,8
730508.7917,7
730508.8333,5
730508.875,1
730508.9167,5
730508.9583,2
730509,6
730509.0417,4
730509.0833,8
730509.125,1
730509.1667,1
730509.2083,7
730509.25,8
730509.2917,5
730509.3333,3
730509.375,2
730509.4167,4
730509.4583,3
730509.5,7
730509.5417,1
730509.5833,2
730509.625,2
730509.6667,9
730509.7083,6
730509.75,5
730509.7917,6
730509.8333,3
730509.875,9
730509.9167,5
730509.9583,8
730510,4
730510.0417,8
730510.0833,7
730510.125,5
730510.1667,7
730510.2083,7
730510.25,3
730510.2917,6
730510.3333,1
730510.375,5
730510.4167,5
730510.4583,4
730510.5,3
730510.5417,0
730510.5833,4
730510.625,2
730510.6667,8
730510.7083,9
730510.75,4
730510.7917,5
730510.8333,4
730510.875,6
730510.9167,2
730510.9583,9
730511,8
730511.0417,3
730511.0833,8
730511.125,1
730511.1667,4
730511.2083,8
730511.25,0
730511.2917,0
730511.3333,2
730511.375,3
730511.4167,3
730511.4583,9
730511.5,0
730511.5417,3
730511.5833,8
730511.625,0
730511.6667,3
730511.7083,2
730511.75,1
730511.7917,1
730511.8333,7
730511.875,5
730511.9167,5
730511.9583,1
730512,7
730512.0417,7
730512.0833,0
730512.125,5
730512.1667,6
730512.2083,4
730512.25,5
730512.2917,5
730512.3333,7
730512.375,4
730512.4167,5
730512.4583,4
730512.5,0
730512.5417,8
730512.5833,2
730512.625,1
730512.6667,6
730512.7083,3
730512.75,8
730512.7917,7
730512.8333,1
730512.875,0
730512.9167,3
730512.9583,4
730513,4
730513.0417,2
730513.0833,0
730513.125,1
730513.1667,5
730513.2083,3
730513.25,2
730513.2917,5
730513.3333,3
730513.375,4
730513.4167,8
730513.4583,3
730513.5,2
730513.5417,2
730513.5833,2
730513.625,6
730513.6667,4
730513.7083,7
730513.75,2
730513.7917,7
730513.8333,7
730513.875,3
730513.9167,2
730513.9583,8
730514,6
730514.0417,1
730514.0833,6
730514.125,7
730514.1667,8
730514.2083,7
730514.25,4
730514.2917,6
730514.3333,3
730514.375,3
730514.4167,7
730514.4583,8
730514.5,7
730514.5417,1
730514.5833,3
730514.625,2
730514.6667,4
730514.7083,2
730514.75,7
730514.7917,2
730514.8333,7
730514.875,6
730514.9167,5
730514.9583,8
730515,4
730515.0417,1
730515.0833,8
730515.125,7
730515.1667,8
730515.2083,7
730515.25,4
730515.2917,8
730515.3333,2
730515.375,1
730515.4167,9
730515.4583,1
730515.5,9
730515.5417,2
730515.5833,4
730515.625,1
730515.6667,5
730515.7083,5
730515.75,6
730515.7917,1
730515.8333,4
730515.875,5
730515.9167,7
730515.9583,6
730516,0
730516.0417,6
730516.0833,9
730516.125,5
730516.1667,7
730516.2083,7
730516.25,9
730516.2917,0
730516.3333,2
730516.375,1
730516.4167,3
730516.4583,5
730516.5,2
730516.5417,5
730516.5833,6
730516.625,0
730516.6667,4
730516.7083,7
730516.75,3
730516.7917,3
730516.8333,4
730516.875,3
730516.9167,0
730516.9583,5
730517,4
730517.0417,2
730517.0833,8
730517.125,8
730517.1667,3
730517.2083,7
730517.25,1
730517.2917,5
730517.3333,6
730517.375,4
730517.4167,0
730517.4583,5
730517.5,2
730517.5417,4
730517.5833,6
730517.625,3
