Observation Type, Okta, Solar Elevvation (deg.), Distribution Type, Scale, Shape1, Shape2
auto, 0, 0, burr3, 1.004255336, 8.052092191, 0.334129357
auto, 0, 10, burr3, 1.050077073, 30.01220485, 0.157472184
auto, 0, 20, burr3, 1.042700528, 79.30702738, 0.109783689
auto, 0, 30, burr3, 1.0422, 84.8778, 0.1123
auto, 0, 40, burr3, 1.041613605, 90.44856240, 0.114735689
auto, 0, 50, burr3, 1.040348257, 106.6777365, 0.115167702
extrapolated, 0, 60, burr3, 1.040521909, 112.5163000, 0.118202507
extrapolated, 0, 70, burr3, 1.039559971, 115.5973000, 0.120648195
extrapolated, 0, 80, burr3, 1.038727421, 114.5183000, 0.123093882
auto, 1, 0, burr3, 0.867720611, 5.957029683, 0.461528066
auto, 1, 10, burr3, 1.034635381, 23.30982421, 0.135960831
auto, 1, 20, burr3, 1.054028048, 45.77649839, 0.086326021
auto, 1, 30, burr3, 1.053426748, 61.22887273, 0.079636671
auto, 1, 40, burr3, 1.048370781, 68.68864970, 0.080905594
auto, 1, 50, burr3, 1.051091805, 83.38138037, 0.076478660
extrapolated, 1, 60, burr3, 1.046876702, 101.9297000, 0.073768447
extrapolated, 1, 70, burr3, 1.045490232, 117.3217000, 0.070941131
extrapolated, 1, 80, burr3, 1.044103763, 132.7137000, 0.068113815
auto, 2, 0, burr3, 0.772062039, 4.956047790, 0.602223618
auto, 2, 10, burr3, 0.997637427, 16.12370693, 0.171203773
auto, 2, 20, burr3, 1.042715447, 33.04399206, 0.099150179
auto, 2, 30, burr3, 1.044202341, 43.36090288, 0.087526150
auto, 2, 40, burr3, 1.039137747, 44.65686053, 0.094115982
auto, 2, 50, burr3, 1.042453935, 59.13488558, 0.081633453
extrapolated, 2, 60, burr3, 1.040665084, 61.34531164, 0.079116354
extrapolated, 2, 70, burr3, 1.040080171, 65.44531164, 0.074520320
extrapolated, 2, 80, burr3, 1.039495257, 67.34531164, 0.069924285
auto, 3, 0, burr3, 0.757087430, 4.719955631, 0.599814980
auto, 3, 10, burr3, 0.962886251, 13.26425890, 0.200494203
auto, 3, 20, burr3, 1.020610812, 24.55724953, 0.125177010
auto, 3, 30, burr3, 1.022096040, 29.50479982, 0.117465722
auto, 3, 40, burr3, 1.016061077, 35.57528316, 0.108648429
auto, 3, 50, burr3, 1.017760391, 40.28732067, 0.107029008
extrapolated, 3, 60, burr3, 1.014303520, 49.62322278, 0.098764717
extrapolated, 3, 70, burr3, 1.012135695, 56.75800701, 0.092438587
extrapolated, 3, 80, burr3, 1.009967870, 63.89279125, 0.086112457
auto, 4, 0, gengamma, 0.005480077, 0.557400437, 7.919701074
auto, 4, 10, gengamma, 0.806798567, 3.780633147, 3.215699506
auto, 4, 20, gengamma, 0.974592663, 7.684412120, 3.139798302
auto, 4, 30, gengamma, 0.993042269, 10.02624460, 3.491953440
auto, 4, 40, gengamma, 0.995177810, 11.93575235, 3.630871979
auto, 4, 50, gengamma, 0.994027855, 14.37955261, 4.151900930
extrapolated, 4, 60, gengamma, 1.004320429, 17.65246097, 4.235087789
extrapolated, 4, 70, gengamma, 1.010364540, 20.39297386, 4.471435442
extrapolated, 4, 80, gengamma, 1.016408652, 23.13348674, 4.707783094
auto, 5, 0, gengamma, 0.002024238, 0.491298962, 8.157538816
auto, 5, 10, gengamma, 0.664559633, 2.792447091, 3.430206866
auto, 5, 20, gengamma, 0.892248369, 5.438275550, 3.231241189
auto, 5, 30, gengamma, 0.945393148, 7.635869694, 3.313058175
auto, 5, 40, gengamma, 0.931245632, 8.260396607, 3.653753416
auto, 5, 50, gengamma, 0.935768143, 9.660919904, 3.887662670
extrapolated, 5, 60, gengamma, 0.955266774, 12.15815604, 3.904411614
extrapolated, 5, 70, gengamma, 0.966907955, 13.99957168, 4.038153998
extrapolated, 5, 80, gengamma, 0.978549135, 15.84098732, 4.171896381
auto, 6, 0, gengamma, 0.001677573, 0.481989924, 8.089286482
auto, 6, 10, gengamma, 0.486147982, 2.088140534, 3.837157871
auto, 6, 20, gengamma, 0.757850646, 3.823759792, 3.334064542
auto, 6, 30, gengamma, 0.851623471, 5.457121350, 3.180219803
auto, 6, 40, gengamma, 0.852367455, 5.904250269, 3.438878141
auto, 6, 50, gengamma, 0.846455350, 6.324495209, 3.815566128
extrapolated, 6, 60, gengamma, 0.844980637, 8.242714566, 3.539666331
extrapolated, 6, 70, gengamma, 0.842396577, 9.451120771, 3.545829342
extrapolated, 6, 80, gengamma, 0.839812516, 10.65952698, 3.551992353
auto, 7, 0, gengamma, 0.004537068, 0.484621732, 4.421152054
auto, 7, 10, gengamma, 0.433486322, 1.799709961, 2.240029318
auto, 7, 20, gengamma, 0.614610937, 2.627897221, 2.025277836
auto, 7, 30, gengamma, 0.703741809, 3.469979894, 2.067728901
auto, 7, 40, gengamma, 0.730381459, 4.012040212, 2.193316054
auto, 7, 50, gengamma, 0.744532927, 4.489305108, 2.186545792
extrapolated, 7, 60, gengamma, 0.767009849, 5.564174719, 2.160900930
extrapolated, 7, 70, gengamma, 0.787405408, 6.349960156, 2.167008046
extrapolated, 7, 80, gengamma, 0.807800967, 7.135745593, 2.173115163
auto, 8, 0, gengamma, 0.000167928, 0.360116297, 5.355314757
auto, 8, 10, gengamma, 0.097204818, 1.010969390, 3.442829280
auto, 8, 20, gengamma, 0.1494, 1.1712, 3.1996
auto, 8, 30, gengamma, 0.201529223, 1.331344298, 2.956426748
auto, 8, 40, gengamma, 0.266130988, 1.553540024, 2.833357620
auto, 8, 50, gengamma, 0.256395382, 1.541268725, 2.897819486
extrapolated, 8, 60, gengamma, 0.296218024, 1.941970737, 2.837260690
extrapolated, 8, 70, gengamma, 0.323651103, 2.180435021, 2.807957059
extrapolated, 8, 80, gengamma, 0.351084183, 2.418899304, 2.778653428
auto, 9, 0, gengamma, 0.000342508, 0.370450077, 4.788361112
auto, 9, 10, gengamma, 0.286555027, 1.598964824, 2.064839918
auto, 9, 20, gengamma, 0.001227201, 0.470980381, 5.444603927
auto, 9, 30, gengamma, 0.000303258, 0.406115613, 5.805599776
auto, 9, 40, gengamma, 0.000559751, 0.429564979, 5.533348309
auto, 9,  50, gengamma, 0.000815644, 0.491761514, 7.420808991
extrapolated, 9, 60, gengamma, 0.000815644, 0.491761514, 7.420808991
extrapolated, 9, 70, gengamma, 0.000815644, 0.491761514, 7.420808991
extrapolated, 9, 80, gengamma, 0.000815644, 0.491761514, 7.420808991
